"","Year","State..CT","Employed"
"1",2003,"High school or equivalent",501
"2",2003,"Bachelor's degree or higher",589
"3",2004,"High school or equivalent",459
"4",2004,"Bachelor's degree or higher",604
"5",2005,"High school or equivalent",485
"6",2005,"Bachelor's degree or higher",675
"7",2006,"High school or equivalent",500
"8",2006,"Bachelor's degree or higher",685
"9",2007,"High school or equivalent",464
"10",2007,"Bachelor's degree or higher",706
"11",2008,"High school or equivalent",479
"12",2008,"Bachelor's degree or higher",703
"13",2009,"High school or equivalent",456
"14",2009,"Bachelor's degree or higher",696
"15",2009,"High school or equivalent",456
"16",2009,"Bachelor's degree or higher",696
"17",2010,"High school or equivalent",450
"18",2010,"Bachelor's degree or higher",689
"19",2011,"High school or equivalent",460
"20",2011,"Bachelor's degree or higher",718
"21",2012,"High school or equivalent",435
"22",2012,"Bachelor's degree or higher",737
"23",2013,"High school or equivalent",404
"24",2013,"Bachelor's degree or higher",748
"25",2014,"High school or equivalent",395
"26",2014,"Bachelor's degree or higher",781
"27",2015,"High school or equivalent",412
"28",2015,"Bachelor's degree or higher",828
