"","year","type","employed"
"1",2008,"hs_or_less",56586
"2",2009,"hs_or_less",52928
"3",2010,"hs_or_less",52098
"4",2011,"hs_or_less",50899
"5",2012,"hs_or_less",51333
"6",2013,"hs_or_less",50440
"7",2014,"hs_or_less",51754
"8",2015,"hs_or_less",52491
"9",2008,"some_college",42201
"10",2009,"some_college",40673
"11",2010,"some_college",39900
"12",2011,"some_college",40797
"13",2012,"some_college",41462
"14",2013,"some_college",42407
"15",2014,"some_college",42290
"16",2015,"some_college",42736
"17",2008,"Bachelor.s.degree.or.higher",46226
"18",2009,"Bachelor.s.degree.or.higher",45547
"19",2010,"Bachelor.s.degree.or.higher",45900
"20",2011,"Bachelor.s.degree.or.higher",47102
"21",2012,"Bachelor.s.degree.or.higher",48346
"22",2013,"Bachelor.s.degree.or.higher",49746
"23",2014,"Bachelor.s.degree.or.higher",50780
"24",2015,"Bachelor.s.degree.or.higher",52580
